eventid,status,category,location,title,subtitle,venue,organizer,target_audience,ticket_price,description,additional_info,extra_field1,website,image_url,registration_date,host_type,start_date,end_date,event_type,latitude,longitude,price_type,event_url,created_at,updated_at
39924,NOT_STARTED,전시/미술,강남구,K-핸드메이드페어 2025,,서울 삼성동 코엑스 1층  B홀,기타,누구나,"사전 예매가: 8,000원, 현장 구매가: 10,000원",,,,https://k-handmade.com/,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=42afe00583eb4b0983dba37a04a41222&thumb=Y,2025.1.10,기관,2025.12.18,2025.12.21,기타,37.51182391,127.059159,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=152033&menuNo=200009,2025.4.1 12:33,2025.4.1 12:33
39925,NOT_STARTED,전시/미술,강남구,2025 핸드아티코리아,,코엑스전시장 C홀,기타,누구나,"일반 (2006년생 이상): 12,000 / 청소년 (2018 - 07년생): 6,000원",,,,https://handarty.co.kr/coex/exhibition/handartykorea/,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=39c8b53e2d9e4eac963dc0497f57afed&thumb=Y,2025.3.13,시민,2025.8.7,2025.8.10,기타,37.51182391,127.059159,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=152682&menuNo=200009,2025.4.1 12:33,2025.4.1 12:33
39926,NOT_STARTED,교육/체험,종로구,[세종예술아카데미] 퇴근길 미술 한 잔 : 모네에서 앤디워홀까지,,세종예술아카데미  서클홀,세종문화회관,관심있는 누구나,"120,000원",,,,https://www.sejongpac.or.kr/portal/academy/academyProgram/view.do?courseCd=CS102103250230000007&menuNo=200560&searchYear=2025&listType=1&pageIndex=1,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=175257e9110e437496096a558714901a&thumb=Y,2025.3.12,기관,2025.6.18,2025.7.9,기타,37.5726241,126.9760053,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=152670&menuNo=200011,2025.4.1 12:33,2025.4.1 12:33
39927,NOT_STARTED,교육/체험,노원구,[서울생활사박물관] 2025년 박물관에서 열린 청소년 생활법정(중·고등학교 단체),,서울생활사박물관,서울생활사박물관,중·고등학교 학급 및 동아리 단체,,,,,https://museum.seoul.go.kr/sulm/board/NR_boardList.do?bbsCd=1005,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=6719f511230d43568d3a5779480d1921&thumb=Y,2025.2.19,기관,2025.6.4,2025.11.26,어린이/청소년 문화행사,37.62017392,127.0769362,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=152421&menuNo=200011,2025.4.1 12:33,2025.4.1 12:33
39928,NOT_STARTED,교육/체험,노원구,[서울시립과학관] 2025 과학테마교실,,서울시립과학관 1~4교육실,서울시립과학관,중~고등학교 단체(10~20명),강좌당 25만원,,,,https://science.seoul.go.kr/program/science/read?menuId=14&progMstId=1079,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=07b6a93cd43d4d988279961391560869&thumb=Y,2025.2.5,기관,2025.6.3,2025.12.5,어린이/청소년 문화행사,37.64199411,127.0774371,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=152240&menuNo=200011,2025.4.1 12:33,2025.4.1 12:33
39929,NOT_STARTED,축제-시민화합,광진구,2025 제2회 쉬엄쉬엄 한강3종 축제,,뚝섬한강공원 및 일대,한강사업본부,"한강을 수영, 자전거, 달리기로 즐기는 시민 누구나","30,000원 (사전신청 24,000원)",,,,https://hangang.seoul.go.kr/www/eventMng/detail.do?srchType=list&evntSn=253&mid=538&pageNo=1&keyword=&opt4=&opt11=&opt12=&opt13=&opt14=,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=4d8ab7b1e2de40509f3136cfcad47c2b&thumb=Y,2024.12.12,기관,2025.5.30,2025.6.1,기타,37.52936457,127.0739782,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=151698&menuNo=200010,2025.4.1 12:33,2025.4.1 12:33
39930,NOT_STARTED,연극,종로구,[종로아이들극장] 2025 키우피우 오브제극축제 [트라포스 : 세 노인과 강아지],,종로 아이들극장,종로문화재단,36개월 이상,"30,000원",,,,https://www.jfac.or.kr/site/main/program/perf_all_list_view?pgIdx=2373,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=a7edffe807ba425b9a0968be921b3411&thumb=Y,2025.3.19,기관,2025.5.29,2025.5.31,어린이/청소년 문화행사,37.59029702,126.9983016,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=152771&menuNo=200008,2025.4.1 12:33,2025.4.1 12:33
39931,NOT_STARTED,축제-문화/예술,금천구,2025 금천하모니축제,,"금천구청광장, 안양천다목적광장, 금천구 전역",금천문화재단,누구나,,,,,https://www.instagram.com/geumcheon_harmony/,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=a3e4474968bf4435be05238cdeb71ff1&thumb=Y,2025.3.31,기관,2025.5.24,2025.6.1,기타,37.45706565,126.8960369,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=152953&menuNo=200010,2025.4.1 12:33,2025.4.1 12:33
39932,NOT_STARTED,교육/체험,은평구,[세종예술아카데미] 뮤지컬의 탄생 : 21세기 브로드웨이 히트 뮤지컬,,세종예술아카데미 서클홀,세종문화회관,관심있는 누구나,"210,000원",,,,https://www.sejongpac.or.kr/portal/academy/academyProgram/view.do?courseCd=CS102103250230000009&menuNo=200560&searchYear=2025&listType=1&pageIndex=2,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=bd7ff8a278a243268de7108d54c91f2c&thumb=Y,2025.3.11,기관,2025.5.22,2025.7.3,기타,37.5726241,126.9760053,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=152653&menuNo=200011,2025.4.1 12:33,2025.4.1 12:33
39933,NOT_STARTED,연극,종로구,[종로아이들극장] 2025 키우피우 오브제극축제 [한밤중의 카주],,종로 아이들극장,종로문화재단,36개월 이상,"30,000원",,,,https://www.jfac.or.kr/site/main/program/perf_all_list_view?pgIdx=2374,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=6b36b565cbfa4b78a676c25a20946b44&thumb=Y,2025.3.19,기관,2025.5.22,2025.5.24,어린이/청소년 문화행사,37.59029702,126.9983016,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=152770&menuNo=200008,2025.4.1 12:33,2025.4.1 12:33
